time,x,y,z
11910,6,169,-117
11920,4,169,-120
11930,-2,171,-111
11940,-8,170,-108
11950,-14,172,-102
11960,-14,177,-102
11970,-10,178,-101
11980,-6,177,-102
11990,-7,178,-98
12000,-6,179,-94
12010,-11,179,-90
12020,-12,178,-85
12030,-9,177,-88
12040,-15,179,-84
12050,-16,176,-78
12060,-13,182,-77
12070,-17,182,-78
12080,-22,187,-73
12090,-23,185,-70
12100,-22,188,-68
12110,-20,190,-67
12120,-12,185,-64
12130,-7,183,-61
12140,-5,173,-59
12150,-8,175,-58
12160,-2,170,-57
12170,-8,169,-55
12180,-6,174,-53
12190,-10,174,-48
12200,-15,181,-44
12210,-19,191,-43
12220,-19,189,-42
12230,-18,189,-44
12240,-19,189,-45
12250,-13,187,-46
12260,-14,188,-48
12270,-15,190,-49
12280,-19,195,-50
12290,-22,199,-47
12300,-25,200,-43
12310,-27,197,-40
12320,-22,196,-39
12330,-22,192,-38
12340,-21,192,-37
12350,-26,193,-38
12360,-27,194,-36
12370,-26,198,-30
12380,-28,198,-22
12390,-27,200,-14
12400,-23,192,-9
12410,-15,178,-7
12420,-12,175,-7
12430,-11,170,-9
12440,-17,174,-9
12450,-24,183,-10
12460,-33,190,-10
12470,-40,194,-9
12480,-42,195,-7
12490,-38,194,-3
12500,-31,189,-1
12510,-23,185,-1
12520,-21,183,-4
12530,-24,186,-3
12540,-30,190,-8
12550,-34,195,-8
12560,-34,196,-8
12570,-32,194,-9
12580,-30,193,-8
12590,-30,193,-5
12600,-30,191,-1
12610,-30,189,2
12620,-30,186,3
12630,-28,185,3
12640,-27,186,1
12650,-29,188,0
12660,-32,190,-1
12670,-34,192,-3
12680,-36,193,-5
12690,-38,195,-6
12700,-37,195,-7
12710,-34,194,-8
12720,-30,194,-8
12730,-27,193,-7
12740,-23,192,-7
12750,-25,190,-6
12760,-29,190,-5
